,precision,recall,f1-score,support
ASTRO_IDHmut,1.0,0.3333333333333333,0.5,3.0
GBM_IDHwt,0.8095238095238095,1.0,0.8947368421052632,17.0
ODG_IDHmut_1p19q,1.0,0.5,0.6666666666666666,2.0
OTHERS,0.0,0.0,0.0,1.0
accuracy,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
macro avg,0.7023809523809523,0.4583333333333333,0.5153508771929824,23.0
weighted avg,0.8157349896480331,0.8260869565217391,0.7845156369183828,23.0
